date,close,amount,code,name
2015-01-02,23857.82,10512008459,HSI,恒生指数
2015-01-05,23721.32,14900290542,HSI,恒生指数
2015-01-06,23485.41,12848731687,HSI,恒生指数
2015-01-07,23681.26,14182623184,HSI,恒生指数
2015-01-08,23835.529,13114770289,HSI,恒生指数
2015-01-09,23919.949,14026899586,HSI,恒生指数
2015-01-12,24026.461,10121957747,HSI,恒生指数
2015-01-13,24215.971,9801563492,HSI,恒生指数
2015-01-14,24112.6,11921665432,HSI,恒生指数
2015-01-15,24350.91,11545330830,HSI,恒生指数
2015-01-16,24103.52,11146862639,HSI,恒生指数
2015-01-19,23738.49,13897422608,HSI,恒生指数
2015-01-20,23951.16,9947888714,HSI,恒生指数
2015-01-21,24352.58,12376326019,HSI,恒生指数
2015-01-22,24522.631,15835644626,HSI,恒生指数
2015-01-23,24850.449,13052387104,HSI,恒生指数
2015-01-26,24909.9,12701672218,HSI,恒生指数
2015-01-27,24807.279,12930973693,HSI,恒生指数
2015-01-28,24861.811,12398162679,HSI,恒生指数
2015-01-29,24595.85,12136507294,HSI,恒生指数
2015-01-30,24507.051,11192985254,HSI,恒生指数
2015-02-02,24484.74,10864728202,HSI,恒生指数
2015-02-03,24554.779,10521339094,HSI,恒生指数
2015-02-04,24679.76,12417053142,HSI,恒生指数
2015-02-05,24765.49,13466818982,HSI,恒生指数
2015-02-06,24679.391,10512448912,HSI,恒生指数
2015-02-09,24521.0,9772668044,HSI,恒生指数
2015-02-10,24528.1,9505664193,HSI,恒生指数
2015-02-11,24315.02,8479411859,HSI,恒生指数
2015-02-12,24422.15,9223528410,HSI,恒生指数
2015-02-13,24682.539,16934886167,HSI,恒生指数
2015-02-16,24726.529,7616681635,HSI,恒生指数
2015-02-17,24784.881,7229315801,HSI,恒生指数
2015-02-18,24832.08,4495994757,HSI,恒生指数
2015-02-23,24836.76,6572610954,HSI,恒生指数
2015-02-24,24750.07,8006459198,HSI,恒生指数
2015-02-25,24778.279,8427336852,HSI,恒生指数
2015-02-26,24902.061,10290778235,HSI,恒生指数
2015-02-27,24823.289,10603010510,HSI,恒生指数
2015-03-02,24887.439,10609882404,HSI,恒生指数
2015-03-03,24702.779,11249269762,HSI,恒生指数
2015-03-04,24465.381,11359087332,HSI,恒生指数
2015-03-05,24193.039,15168522809,HSI,恒生指数
2015-03-06,24164.0,13926589803,HSI,恒生指数
2015-03-09,24123.051,13940431941,HSI,恒生指数
2015-03-10,23896.98,14647701577,HSI,恒生指数
2015-03-11,23717.971,15555433641,HSI,恒生指数
2015-03-12,23797.961,13887103124,HSI,恒生指数
2015-03-13,23823.211,14400700455,HSI,恒生指数
2015-03-16,23949.551,15421821883,HSI,恒生指数
2015-03-17,23901.49,15833125805,HSI,恒生指数
2015-03-18,24120.08,15757765960,HSI,恒生指数
2015-03-19,24468.889,15144460626,HSI,恒生指数
2015-03-20,24375.24,18150299045,HSI,恒生指数
2015-03-23,24494.51,16777339413,HSI,恒生指数
2015-03-24,24399.6,16082468689,HSI,恒生指数
2015-03-25,24528.23,14729000251,HSI,恒生指数
2015-03-26,24497.08,14713989457,HSI,恒生指数
2015-03-27,24486.199,14288723055,HSI,恒生指数
2015-03-30,24855.119,21701089940,HSI,恒生指数
